line_id,station_id,station_name,longitude,latitude
1,balbuena,Balbuena,-99.10277436397425,19.42335533557525
1,balderas,Balderas,-99.14948115142849,19.42699787608891
1,boulevard-puerto-aereo,Boulevard Puerto Aéreo,-99.09625873241016,19.41994196485021
1,candelaria,Candelaria,-99.12090955005588,19.42954014071058
1,chapultepec,Chapultepec,-99.17641673157046,19.42074629504737
1,cuauhtemoc,Cuauhtémoc,-99.15459795134981,19.4256611110838
1,gomez-farias,Gómez Farías,-99.09021039171121,19.41647845690737
1,insurgentes,Insurgentes,-99.16328887947714,19.4236518006073
1,isabel-la-catolica,Isabel la Católica,-99.13783045646255,19.42639351179822
1,juanacatlan,Juanacatlán,-99.18198382947882,19.4129516424911
1,merced,Merced,-99.12502541851761,19.42548757157406
1,moctezuma,Moctezuma,-99.10979926910476,19.42685434666967
1,observatorio,Observatorio,-99.20040474604608,19.39828237569932
1,pantitlan,Pantitlán,-99.07473572701159,19.41633408559653
1,pino-suarez,Pino Suárez,-99.13263861199377,19.42592349510793
1,salto-del-agua,Salto del Agua,-99.14340629386963,19.42694818974186
1,san-lazaro,San Lázaro,-99.11426095239393,19.43005884961391
1,sevilla,Sevilla,-99.17111907391485,19.42184991592157
1,tacubaya,Tacubaya,-99.18763652631694,19.40251380233993
1,zaragoza,Zaragoza,-99.0822888117768,19.41192045593743
12,atlalilco,Atlalilco,-99.10624316535984,19.35275417281493
12,calle-11,Calle 11,-99.08587286436709,19.32047115187173
12,culhuacan,Culhuacán,-99.10895874517293,19.33684561107958
12,eje-central,Eje Central,-99.15142336147862,19.36134123793857
12,ermita,Ermita,-99.14163136305437,19.35982350302383
12,hospital-20-de-noviembre,Hospital 20 de Noviembre,-99.17088446276829,19.37201337695184
12,insurgentes-sur,Insurgentes Sur,-99.17825012925253,19.37355347022711
12,lomas-estrella,Lomas Estrella,-99.09575048151491,19.32214885634406
12,mexicaltzingo,Mexicaltzingo,-99.1231432322264,19.35776253608585
12,mixcoac,Mixcoac,-99.18673050109385,19.37569882343627
12,nopalera,Nopalera,-99.04599286885365,19.29995730488926
12,olivos,Olivos,-99.05951149501792,19.30432199600218
12,parque-de-los-venados,Parque de los Venados,-99.15871771897177,19.37065883497745
12,periferico-oriente,Periférico Oriente,-99.07450575078416,19.3176115684651
12,san-andres-tomatlan,San Andrés Tomatlán,-99.1045158609058,19.32814547952075
12,tezonco,Tezonco,-99.06527026370269,19.3063088255097
12,tlahuac,Tláhuac,-99.0141983243777,19.28602227729018
12,tlaltenco,Tlaltenco,-99.02403074663107,19.29435337910794
12,zapata,Zapata,-99.165599315594,19.37084530155701
12,zapotitlan,Zapotitlán,-99.03430689003962,19.29665558651506
2,allende,Allende,-99.13686784023699,19.43555800327121
2,bellas-artes,Bellas Artes,-99.14161363737124,19.43637775589604
2,chabacano,Chabacano,-99.1356181172527,19.40917986927759
2,colegio-militar,Colegio Militar,-99.17177923331683,19.44927355499718
2,cuatro-caminos,Cuatro Caminos,-99.21584248969683,19.45959320849207
2,cuitlahuac,Cuitláhuac,-99.18149576791224,19.45725388973924
2,ermita,Ermita,-99.14290376152475,19.36197929976432
2,general-anaya,General Anaya,-99.14500636295455,19.35323591486118
2,hidalgo,Hidalgo,-99.14722340551585,19.43754674790357
2,nativitas,Nativitas,-99.14018788970765,19.37953276091363
2,normal,Normal,-99.16727403741045,19.44455770552456
2,panteones,Panteones,-99.20294912952721,19.45863856077013
2,pino-suarez,Pino Suárez,-99.13294182670589,19.42438471172242
2,popotla,Popotla,-99.17549381434115,19.45290921980156
2,portales,Portales,-99.14157355491439,19.36992483866799
2,revolucion,Revolución,-99.15422782571336,19.4392271791397
2,san-antonio-abad,San Antonio Abad,-99.13453987415669,19.41602164706914
2,san-cosme,San Cosme,-99.16066207280677,19.44190425442648
2,tacuba,Tacuba,-99.18823093441412,19.45937601071871
2,tasquena,Tasqueña,-99.13953277638426,19.34375709827772
2,viaducto,Viaducto,-99.13689959248839,19.400868658019
2,villa-de-cortes,Villa de Cortés,-99.13895916622117,19.38758177582601
2,xola,Xola,-99.13780817932107,19.39521050995037
2,zocalo-tenochtitlan,Zócalo/Tenochtitlan,-99.13225107327767,19.43250191097594
3,balderas,Balderas,-99.14906048003867,19.42648009336695
3,centro-medico,Centro Médico,-99.15513468952369,19.40745314744384
3,copilco,Copilco,-99.17697359521604,19.33609927480332
3,coyoacan,Coyoacán,-99.17086152734286,19.36135907735007
3,deportivo-18-de-marzo,Deportivo 18 de Marzo,-99.12549791712465,19.48511415134247
3,division-del-norte,División del Norte,-99.1594791658047,19.37918443540228
3,etiopia-plaza-de-la-transparencia,Etiopía/Plaza de la Transparencia,-99.15603141534933,19.39592053161736
3,eugenia,Eugenia,-99.15720459756614,19.38616851811537
3,guerrero,Guerrero,-99.14519334406981,19.44472633482843
3,hidalgo,Hidalgo,-99.14678272133695,19.43738239226258
3,hospital-general,Hospital General,-99.15324536177903,19.41375875357943
3,indios-verdes,Indios Verdes,-99.11950993825916,19.49533761864566
3,juarez,Juárez,-99.14768330576317,19.43325034645042
3,la-raza,La Raza,-99.13950623022468,19.468880133789
3,miguel-angel-de-quevedo,Miguel Ángel de Quevedo,-99.18075665564406,19.34625183308589
